concept,alias,note
TOTAL_EQUITY,รวมส่วนของผู้ถือหุ้น,ใช้ในบริษัทส่วนใหญ่
TOTAL_EQUITY,รวมส่วนของเจ้าของ,IIG ใช้แบบนี้ ถูกต้องตามมาตรฐานเช่นกัน
TOTAL_EQUITY,รวมส่วนของผู้เป็นเจ้าของ,รูปแบบยาว
TOTAL_LIAB_EQUITY,รวมหนี้สินและส่วนของผู้ถือหุ้น,
TOTAL_LIAB_EQUITY,รวมหนี้สินและส่วนของเจ้าของ,
TOTAL_LIAB_EQUITY,รวมหนี้สินและส่วนของผู้เป็นเจ้าของ,
TOTAL_ASSETS,รวมสินทรัพย์,
TOTAL_CURRENT_ASSETS,รวมสินทรัพย์หมุนเวียน,
TOTAL_NONCURRENT_ASSETS,รวมสินทรัพย์ไม่หมุนเวียน,
TOTAL_LIABILITIES,รวมหนี้สิน,
TOTAL_CURRENT_LIAB,รวมหนี้สินหมุนเวียน,
TOTAL_NONCURRENT_LIAB,รวมหนี้สินไม่หมุนเวียน,
CASH,เงินสดและรายการเทียบเท่าเงินสด,ค่อนข้างนิ่งทุกบริษัท
TRADE_RECEIVABLES,ลูกหนี้การค้า,CP ALL แยกบรรทัด
TRADE_RECEIVABLES,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,MFEC GABLE รวมบรรทัด
TRADE_RECEIVABLES,ลูกหนี้การค้าและลูกหนี้อื่น,
OTHER_RECEIVABLES,ลูกหนี้หมุนเวียนอื่น,
TRADE_PAYABLES,เจ้าหนี้การค้า,
TRADE_PAYABLES,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,
TRADE_PAYABLES,เจ้าหนี้การค้าและเจ้าหนี้อื่น,
INVENTORY,สินค้าคงเหลือ,
INVENTORY,สินค้าและพัสดุคงเหลือ,PTT OR ใช้แบบนี้
PPE,ที่ดิน อาคารและอุปกรณ์,
PPE,อุปกรณ์,GABLE ไม่มีที่ดินและอาคาร
PPE,ส่วนปรับปรุงอาคารและอุปกรณ์,MFEC ใช้แบบนี้
PPE,ส่วนปรับปรุงอาคารเช่าและอุปกรณ์,BBIK ใช้แบบนี้
RIGHT_OF_USE,สินทรัพย์สิทธิการใช้,
GOODWILL,ค่าความนิยม,
INTANGIBLES,สินทรัพย์ไม่มีตัวตน,
INTANGIBLES,สินทรัพย์ไม่มีตัวตนอื่น,
INTANGIBLES,สินทรัพย์ไม่มีตัวตนอื่นนอกจากค่าความนิยม,
SHARE_CAPITAL,ทุนออกจำหน่ายและชำระเต็มมูลค่าแล้ว,
SHARE_CAPITAL,ทุนที่ออกและชำระแล้ว,
SHARE_PREMIUM,ส่วนเกินมูลค่าหุ้นสามัญ,
SHARE_PREMIUM,ส่วนเกินมูลค่าหุ้น,
LEGAL_RESERVE,สำรองตามกฎหมาย,
LEGAL_RESERVE,ทุนสำรองตามกฎหมาย,PTT OR ใช้แบบนี้
LEGAL_RESERVE,จัดสรรแล้ว - สำรองตามกฎหมาย,
RETAINED_EARNINGS,ยังไม่ได้จัดสรร,
RETAINED_EARNINGS,กำไรสะสมยังไม่ได้จัดสรร,
OTHER_EQUITY_COMPONENTS,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,
OTHER_EQUITY_COMPONENTS,องค์ประกอบอื่นของส่วนของเจ้าของ,
NCI,ส่วนของผู้มีส่วนได้เสียที่ไม่มีอำนาจควบคุมของบริษัทย่อย,
NCI,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,CP ALL ใช้แบบสั้น
REVENUE,รายได้จากการขายและให้บริการ,
REVENUE,รายได้จากการขายสินค้าและการให้บริการ,
REVENUE,รายได้จากการขายและการให้บริการ,
TOTAL_REVENUE,รวมรายได้,
COGS,ต้นทุนขายและให้บริการ,
COGS,ต้นทุนขายสินค้าและต้นทุนการให้บริการ,
TOTAL_EXPENSES,รวมค่าใช้จ่าย,
NET_PROFIT,กำไรสำหรับงวด,
NET_PROFIT,กำไร (ขาดทุน) สำหรับงวด,
NET_PROFIT,กำไรสุทธิ,
EPS,กำไรต่อหุ้นขั้นพื้นฐาน,
EPS,กำไร (ขาดทุน) ต่อหุ้นขั้นพื้นฐาน,
