company,source,statement,unit,page,section,item_raw,item_used,concept,concept_eq,match_score,con_cur,con_prev,sep_cur,sep_prev
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,,วันที่,วันที่,,,0.5,31.0,,31.0,
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,กาไรจากการดาเนิ นงานก่อนภาษีเงินได้,กาไรจากการดาเนิ นงานก่อนภาษีเงินได้,,,0.69,13576944.0,15334212.0,12633697.0,14563457.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,ค่าเสื่ อมราคาและรายจ่ายตัดบัญชี,ค่าเสื่ อมราคาและรายจ่ายตัดบัญชี,,,0.667,1132353.0,1619475.0,1127210.0,1600905.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,ECL,ECL,1.0,6544764.0,7101710.0,6432242.0,7086480.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,กลับรายการขาดทุนจากการด้อยค่าของอาคารและอุปกรณ์,กลับรายการขาดทุนจากการด้อยค่าของอาคารและอุปกรณ์,,,0.567,-2279.0,,-1454.0,
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,ขาดทุนจากการด้อยค่าของทรัพย์สินรอการขาย,ขาดทุนจากการด้อยค่าของทรัพย์สินรอการขาย,,,0.623,50156.0,70269.0,50156.0,70269.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,ประมาณการหนี้ สิน,ประมาณการหนี้ สิน,PROVISIONS,PROVISIONS,1.0,871187.0,310375.0,67627.0,283378.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,กาไรจากการขายอาคารและอุปกรณ์,กาไรจากการขายอาคารและอุปกรณ์,,,0.706,-2570.0,-315.0,-167.0,-315.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,ขาดทุนจากการตัดจาหน่ายอาคารและอุปกรณ์,ขาดทุนจากการตัดจาหน่ายอาคารและอุปกรณ์,,,0.667,1903.0,766.0,1901.0,766.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,ขาดทุนจากการตัดจาหน่ายสิ นทรัพย์ไม่มีตวั ตน,ขาดทุนจากการตัดจาหน่ายสิ นทรัพย์ไม่มีตวั ตน,,,0.656,4.0,,,
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,กาไรจากการขายทรัพย์สินรอการขาย,กาไรจากการขายทรัพย์สินรอการขาย,,,0.686,-205531.0,-304666.0,-205531.0,-304666.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,(กาไร) ขาดทุนสุทธิ จากเครื่ องมือทางการเงิน,(กาไร) ขาดทุนสุทธิ จากเครื่ องมือทางการเงิน,,,0.632,799080.0,-100868.0,821844.0,-105986.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,กาไรสุทธิ จากเงินลงทุน,กาไรสุทธิ จากเงินลงทุน,INVESTMENT_GAIN,INVESTMENT_GAIN,1.0,-123782.0,-93361.0,-42840.0,-93361.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,ส่วนแบ่งกาไรจากเงินลงทุนในบริ ษทั ร่ วม,ส่วนแบ่งกาไรจากเงินลงทุนในบริ ษทั ร่ วม,SHARE_OF_PROFIT_ASSOCIATE,SHARE_OF_PROFIT_ASSOCIATE,1.0,-102887.0,-82068.0,,
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,,กระแสเงินสดจากกิจกรรมดำเนินงาน,CF_OPERATING_BEFORE_ITEMS,CF_OPERATING_BEFORE_ITEMS,0.919,22539342.0,23855529.0,20884685.0,23100927.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,รายได้ดอกเบี้ยสุทธิ,รายได้ดอกเบี้ยสุทธิ,NET_INTEREST_INCOME,NET_INTEREST_INCOME,1.0,-20748064.0,-24837332.0,-20685833.0,-24746049.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,รายได้เงินปันผล,รายได้เงินปันผล,DIVIDEND_INCOME,DIVIDEND_INCOME,1.0,-10996.0,-11200.0,-10996.0,-11200.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,เงินสดรับดอกเบี้ย,เงินสดรับดอกเบี้ย,INTEREST_RECEIVED,INTEREST_RECEIVED,0.917,29725983.0,32018008.0,29668588.0,31909130.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,เงินสดจ่ายดอกเบี้ย,เงินสดจ่ายดอกเบี้ย,INTEREST_PAID,INTEREST_PAID,1.0,-7523399.0,-11411118.0,-7534003.0,-11420521.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,เงินสดจ่ายภาษีเงินได้,เงินสดจ่ายภาษีเงินได้,INCOME_TAX_PAID,INCOME_TAX_PAID,1.0,-358478.0,-330887.0,-266296.0,-241638.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,กาไรจากการดาเนิ นงานก่อนการเปลี่ยนแปลงในสิ นทรัพย์และหนี้ สินดาเนิ นงาน,กาไรจากการดาเนิ นงานก่อนการเปลี่ยนแปลงในสิ นทรัพย์และหนี้ สินดาเนิ นงาน,PROFIT_BEFORE_WC_CHANGE,PROFIT_BEFORE_WC_CHANGE,1.0,23624388.0,19283000.0,22056145.0,18590649.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,รายการระหว่างธนาคารและตลาดเงิน,รายการระหว่างธนาคารและตลาดเงิน,INTERBANK_LIAB,INTERBANK_LIAB,1.0,23985460.0,82472330.0,25165031.0,82909921.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,สิ นทรัพย์อนุพนั ธ์,สิ นทรัพย์อนุพนั ธ์,DERIVATIVE_ASSETS,DERIVATIVE_ASSETS,1.0,-4077029.0,4862800.0,-4069574.0,4867324.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,เงินลงทุนในหลักทรัพย์ระยะสั้น,เงินลงทุนในหลักทรัพย์ระยะสั้น,,,0.732,-16720094.0,-32625128.0,-16742858.0,-32620010.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,เงินให้สินเชื่อแก่ลูกหนี้,เงินให้สินเชื่อแก่ลูกหนี้,,,0.702,-66828396.0,-35871119.0,-66997605.0,-36276630.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,ทรัพย์สินรอการขาย,ทรัพย์สินรอการขาย,,,0.889,1640573.0,3238304.0,1640573.0,3238304.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,13,กระแสเงินสดจากกิจกรรมดำเนินงาน,สิ นทรัพย์อื่น,สิ นทรัพย์อื่น,,,0.842,-5980601.0,27157.0,-5410875.0,70278.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,,วันที่,วันที่,,,0.5,31.0,,,
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,,เงินรับฝาก,เงินรับฝาก,DEPOSITS,DEPOSITS,1.0,68076553.0,-1627254.0,66745151.0,-1802366.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,,รายการระหว่างธนาคารและตลาดเงิน,รายการระหว่างธนาคารและตลาดเงิน,INTERBANK_LIAB,INTERBANK_LIAB,1.0,19724222.0,-6805474.0,19659017.0,-6915805.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,,หนี้ สินจ่ายคืนเมื่อทวงถาม,หนี้ สินจ่ายคืนเมื่อทวงถาม,PAYABLE_ON_DEMAND,PAYABLE_ON_DEMAND,1.0,546002.0,1394240.0,545948.0,1394258.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,,หนี้ สินอนุพนั ธ์,หนี้ สินอนุพนั ธ์,DERIVATIVE_LIAB,DERIVATIVE_LIAB,1.0,5677045.0,-5092978.0,5676127.0,-5093164.0
SCB,1q26-financial-statement-note-th_SCB.pdf,CF,thousand,14,,ตราสารหนี้ ที่ออกและเงินกูย้ ืมระยะสั้น,ตราสารหนี้ ที่ออกและเงินกูย้ ืมระยะสั้น,,,0.889,-7189542.0,1699689.0,-7189542.0,1699689.0
