company,source,statement,unit,page,section,item_raw,item_used,concept,concept_eq,match_score,con_cur,con_prev,sep_cur,sep_prev
SCB,1q26-financial-statement-note-th_SCB.pdf,SE,thousand,"9,10,11,12",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,ยอดคงเหลือ ณ วันที่ 1 มกราคม,SE_OPENING,SE_OPENING,1.0,445766212.0,438207512.0,444000714.0,435718364.0
SCB,1q26-financial-statement-note-th_SCB.pdf,SE,thousand,"9,10,11,12",งบรวม+งบเฉพาะกิจการ,เงินปันผลจ่าย 12,เงินปันผลจ่าย 12,SE_DIVIDEND,SE_DIVIDEND,1.0,-30014867.0,-32190350.0,-30014867.0,-32190350.0
SCB,1q26-financial-statement-note-th_SCB.pdf,SE,thousand,"9,10,11,12",งบรวม+งบเฉพาะกิจการ,รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้ าส่ วนของเจ้ าของ,รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้ าส่ วนของเจ้ าของ,,,0.604,-30014867.0,-32190350.0,-30014867.0,-32190350.0
SCB,1q26-financial-statement-note-th_SCB.pdf,SE,thousand,"9,10,11,12",งบรวม+งบเฉพาะกิจการ,กาไรสุทธิ,กาไรสุทธิ,NET_PROFIT,NET_PROFIT,1.0,10870703.0,12263524.0,10125326.0,11631724.0
SCB,1q26-financial-statement-note-th_SCB.pdf,SE,thousand,"9,10,11,12",งบรวม+งบเฉพาะกิจการ,กาไรขาดทุนเบ็ดเสร็ จอื่น,กาไรขาดทุนเบ็ดเสร็ จอื่น,SE_OCI,SE_OCI,1.0,-3801911.0,1011918.0,-4237636.0,1026138.0
SCB,1q26-financial-statement-note-th_SCB.pdf,SE,thousand,"9,10,11,12",งบรวม+งบเฉพาะกิจการ,รวมกาไรขาดทุนเบ็ดเสร็จสาหรับงวด,รวมกาไรขาดทุนเบ็ดเสร็จสาหรับงวด,SE_TCI,SE_TCI,1.0,7068792.0,13275442.0,5887690.0,12657862.0
SCB,1q26-financial-statement-note-th_SCB.pdf,SE,thousand,"9,10,11,12",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันที่ 31 มีนาคม 2569,ยอดคงเหลือ ณ วันที่ 31 มีนาคม,SE_CLOSING,SE_CLOSING,1.0,422820137.0,419292604.0,419873537.0,416185876.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,SE,unknown,"8,9",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือต้นรอบระยะเวลา วันที 1 มกราคม พ.ศ. 2569,ยอดคงเหลือต้นรอบระยะเวลา วันที 1 มกราคม พ.ศ. 2569,,,0.417,75147452.0,74184687.0,301028598.0,305995927.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,SE,unknown,"8,9",งบรวม+งบเฉพาะกิจการ,กําไรเบ็ดเสร็จรวมสําหรับรอบระยะเวลา,กําไรเบ็ดเสร็จรวมสําหรับรอบระยะเวลา,,,0.789,7002261.0,,733292.0,
TRUE,20260507-true-FSGroup-1q2026-th.pdf,SE,unknown,"8,9",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือสิ นรอบระยะเวลา วันที 31 มีนาคม พ.ศ. 2569,ยอดคงเหลือสิ นรอบระยะเวลา วันที 31 มีนาคม พ.ศ. 2569,,,0.426,82149713.0,75457834.0,301761890.0,306629945.0
TRUE,20260507-true-FSGroup-1q2026-th.pdf,SE,unknown,"8,9",งบรวม+งบเฉพาะกิจการ,กําไร(ขาดทุน)เบ็ดเสร็จรวมสําหรับรอบระยะเวลา,กําไร(ขาดทุน)เบ็ดเสร็จรวมสําหรับรอบระยะเวลา,,,0.826,,1273147.0,,634018.0
GABLE,20260512-gable-fs-1q2026-th.pdf,SE,thousand,"9,10",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันที< 1 มกราคม 2569,ยอดคงเหลือ ณ วันที< 1 มกราคม,SE_OPENING,SE_OPENING,1.0,2320886.0,2221711.0,2042169.0,2029425.0
GABLE,20260512-gable-fs-1q2026-th.pdf,SE,thousand,"9,9",งบรวม+งบเฉพาะกิจการ,ก ําไรสําหรับงวด,ก ําไรสําหรับงวด,NET_PROFIT,NET_PROFIT,1.0,82787.0,-7347.0,,
GABLE,20260512-gable-fs-1q2026-th.pdf,SE,thousand,9,งบรวม,ก ําไรขาดทุนเบ็ดเสร็จอืนB สําหรับงวด,ก ําไรขาดทุนเบ็ดเสร็จอืนB สําหรับงวด,OCI_TOTAL,OCI_TOTAL,1.0,118.0,-5.0,,
GABLE,20260512-gable-fs-1q2026-th.pdf,SE,thousand,"9,10",งบรวม+งบเฉพาะกิจการ,ก ําไรขาดทุนเบ็ดเสร็จรวมสําหรับงวด,ก ําไรขาดทุนเบ็ดเสร็จรวมสําหรับงวด,TOTAL_COMPREHENSIVE_INCOME,TOTAL_COMPREHENSIVE_INCOME,1.0,82905.0,-7352.0,181727.0,-19294.0
GABLE,20260512-gable-fs-1q2026-th.pdf,SE,thousand,"9,10",งบรวม+งบเฉพาะกิจการ,การจ่ายโดยใช้หุน้ เป็ นเกณฑ์,การจ่ายโดยใช้หุน้ เป็ นเกณฑ์,SE_SHARE_BASED,SE_SHARE_BASED,1.0,14.0,311.0,,298.0
GABLE,20260512-gable-fs-1q2026-th.pdf,SE,thousand,9,งบรวม,เงินรับล่วงหน้าค ่าหุน้ จากการใช้สิทธิ ใบสําค ัญแสดงสิทธิในบริษทั ย่อย,เงินรับล่วงหน้าค ่าหุน้ จากการใช้สิทธิ ใบสําค ัญแสดงสิทธิในบริษทั ย่อย,SE_SHARE_SUBSCRIPTION,SE_SHARE_SUBSCRIPTION,1.0,4090.0,,,
GABLE,20260512-gable-fs-1q2026-th.pdf,SE,thousand,"9,10",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันที< 31 มีนาคม 2569,ยอดคงเหลือ ณ วันที< 31 มีนาคม,SE_CLOSING,SE_CLOSING,1.0,2407895.0,2214670.0,2223896.0,2010429.0
BBIK,20260513-bbik-fs-1q2026-th.pdf,SE,baht,"8,9",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันทีN 1 มกราคม 2569,ยอดคงเหลือ ณ วันทีN 1 มกราคม,SE_OPENING,SE_OPENING,1.0,2144125483.0,2005859902.0,2016905244.0,1875715906.0
BBIK,20260513-bbik-fs-1q2026-th.pdf,SE,baht,"8,9",งบรวม+งบเฉพาะกิจการ,ก ําไร (ขาดทุน) เบ็ดเสร็จรวมสําหรับงวด,ก ําไร (ขาดทุน) เบ็ดเสร็จรวมสําหรับงวด,TOTAL_COMPREHENSIVE_INCOME,TOTAL_COMPREHENSIVE_INCOME,1.0,80897113.0,72005592.0,29958211.0,78292231.0
BBIK,20260513-bbik-fs-1q2026-th.pdf,SE,baht,"8,9",งบรวม+งบเฉพาะกิจการ,รวมการเปลียN นแปลงในส่ วนของผู้ ถือหุ้น,รวมการเปลียN นแปลงในส่ วนของผู้ ถือหุ้น,SE_CHANGE_TOTAL,SE_CHANGE_TOTAL,1.0,80897113.0,-75161371.0,29958211.0,78292231.0
BBIK,20260513-bbik-fs-1q2026-th.pdf,SE,baht,"8,9",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันทีN 31 มีนาคม 2569,ยอดคงเหลือ ณ วันทีN 31 มีนาคม,SE_CLOSING,SE_CLOSING,1.0,2225022596.0,1930698531.0,2046863455.0,1954008137.0
BBIK,20260513-bbik-fs-1q2026-th.pdf,SE,baht,8,งบรวม,ส่วนตํา8 จากการเปลีย นแปลงสัดส่วนการลงทุนในบริษทั ย่อย,ส่วนตํา8 จากการเปลีย นแปลงสัดส่วนการลงทุนในบริษทั ย่อย,OWNERSHIP_CHANGE_RESERVE,OWNERSHIP_CHANGE_RESERVE,1.0,,-147166963.0,,
PRG,20260513-prg-fs-1q2026-th.pdf,SE,thousand,"7,8",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันที1 1 มกราคม 2569,ยอดคงเหลือ ณ วันที1 1 มกราคม 2569,,,0.0,9559989.0,10765390.0,9388893.0,10573369.0
PRG,20260513-prg-fs-1q2026-th.pdf,SE,thousand,"7,8",งบรวม+งบเฉพาะกิจการ,ก ําไรสําหรับงวด,ก ําไรสําหรับงวด,NET_PROFIT,NET_PROFIT,1.0,5185.0,1832.0,-347.0,-1679.0
PRG,20260513-prg-fs-1q2026-th.pdf,SE,thousand,"7,8",งบรวม+งบเฉพาะกิจการ,ก ําไรขาดทุนเบ็ดเสร็จอืนC สําหรับงวด,ก ําไรขาดทุนเบ็ดเสร็จอืนC สําหรับงวด,OCI_TOTAL,OCI_TOTAL,1.0,-140128.0,-1634827.0,-133380.0,-1556104.0
PRG,20260513-prg-fs-1q2026-th.pdf,SE,thousand,"7,8",งบรวม+งบเฉพาะกิจการ,ก ําไรขาดทุนเบ็ดเสร็จรวมสําหรับงวด,ก ําไรขาดทุนเบ็ดเสร็จรวมสําหรับงวด,TOTAL_COMPREHENSIVE_INCOME,TOTAL_COMPREHENSIVE_INCOME,1.0,-134943.0,-1632995.0,-133727.0,-1557783.0
PRG,20260513-prg-fs-1q2026-th.pdf,SE,thousand,"7,8",งบรวม+งบเฉพาะกิจการ,ใบสําค ัญแสดงสิทธิใช้สิทธิซอืA หุน้ สามัญ (หมายเหตุ 9) 60 232,ใบสําค ัญแสดงสิทธิใช้สิทธิซอืA หุน้ สามัญ (หมายเหตุ 9) 60 232,,,0.479,292.0,,292.0,
PRG,20260513-prg-fs-1q2026-th.pdf,SE,thousand,"7,8",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันที1 31 มีนาคม 2569,ยอดคงเหลือ ณ วันที1 31 มีนาคม 2569,,,0.0,9425338.0,9306998.0,9255458.0,9190189.0
PRG,20260513-prg-fs-1q2026-th.pdf,SE,thousand,"7,8",งบรวม+งบเฉพาะกิจการ,ใบสําค ัญแสดงสิทธิใช้สิทธิซอืA หุน้ สามัญ,ใบสําค ัญแสดงสิทธิใช้สิทธิซอืA หุน้ สามัญ,,,0.515,,174603.0,,174603.0
SAT,20260514-sat-fs-1q2026-th.pdf,SE,thousand,"9,10",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,ยอดคงเหลือ ณ วันที่ 1 มกราคม,SE_OPENING,SE_OPENING,1.0,8339024.0,8329293.0,5446882.0,5425307.0
SAT,20260514-sat-fs-1q2026-th.pdf,SE,thousand,"9,10",งบรวม+งบเฉพาะกิจการ,กาไร (ขาดทุน),กาไร (ขาดทุน),SE_PROFIT,SE_PROFIT,1.0,210622.0,188409.0,,-21556.0
SAT,20260514-sat-fs-1q2026-th.pdf,SE,thousand,"9,10",งบรวม+งบเฉพาะกิจการ,กาไร (ขาดทุน) เบ็ดเสร็ จอื่น,กาไร (ขาดทุน) เบ็ดเสร็ จอื่น,SE_OCI,SE_OCI,1.0,-272.0,36.0,-68.0,-17.0
SAT,20260514-sat-fs-1q2026-th.pdf,SE,thousand,"9,10,10",งบรวม+งบเฉพาะกิจการ,รวมกาไร (ขาดทุน) เบ็ดเสร็จสาหรับงวด,รวมกาไร (ขาดทุน) เบ็ดเสร็จสาหรับงวด,SE_TCI,SE_TCI,1.0,210350.0,188445.0,4004.0,-21573.0
SAT,20260514-sat-fs-1q2026-th.pdf,SE,thousand,"9,10",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันที่ 31 มีนาคม 2569,ยอดคงเหลือ ณ วันที่ 31 มีนาคม,SE_CLOSING,SE_CLOSING,1.0,8549374.0,8517738.0,5450886.0,5403734.0
AIS,FINANCIAL_STATEMENTS_AIS.pdf,SE,thousand,"6,7,8,9",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,ยอดคงเหลือ ณ วันที่ 1 มกราคม,SE_OPENING,SE_OPENING,1.0,107280362.0,97323895.0,107845182.0,97892080.0
AIS,FINANCIAL_STATEMENTS_AIS.pdf,SE,thousand,"6,7,8,9",งบรวม+งบเฉพาะกิจการ,"เงินปั นผลจ่าย 12, 13","เงินปั นผลจ่าย 12, 13",SE_DIVIDEND,SE_DIVIDEND,1.0,-8.0,-17070673.0,,-17070673.0
AIS,FINANCIAL_STATEMENTS_AIS.pdf,SE,thousand,"6,7",งบรวม,รวมเงินทุนที่ได้ รับจากและการจัดสรรส่ วนทุนให้ ผ้ถู ือหุ้น,รวมเงินทุนที่ได้ รับจากและการจัดสรรส่ วนทุนให้ ผ้ถู ือหุ้น,,,0.549,-8.0,-17070673.0,,
AIS,FINANCIAL_STATEMENTS_AIS.pdf,SE,thousand,"6,7",งบรวม,การเปลี่ยนแปลงส่วนได้เสี ยของบริ ษทั ย่อย,การเปลี่ยนแปลงส่วนได้เสี ยของบริ ษทั ย่อย,,,0.678,-44.0,400.0,,
AIS,FINANCIAL_STATEMENTS_AIS.pdf,SE,thousand,"6,7",งบรวม,รวมการเปลีย่ นแปลงส่ วนได้ เสี ยของบริษทั ย่อย,รวมการเปลีย่ นแปลงส่ วนได้ เสี ยของบริษทั ย่อย,,,0.731,-44.0,400.0,,
AIS,FINANCIAL_STATEMENTS_AIS.pdf,SE,thousand,"6,7,8,9",งบรวม+งบเฉพาะกิจการ,รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้ าส่ วนของผู้ถือหุ้น,รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้ าส่ วนของผู้ถือหุ้น,,,0.618,-52.0,-17070273.0,,-17070673.0
AIS,FINANCIAL_STATEMENTS_AIS.pdf,SE,thousand,"6,7,8,9",งบรวม+งบเฉพาะกิจการ,กาไรสาหรับงวด,กาไรสาหรับงวด,NET_PROFIT,NET_PROFIT,1.0,13495939.0,10584017.0,13495505.0,10583526.0
AIS,FINANCIAL_STATEMENTS_AIS.pdf,SE,thousand,"6,7,8,9",งบรวม+งบเฉพาะกิจการ,กาไรขาดทุนเบ็ดเสร็ จอื่น,กาไรขาดทุนเบ็ดเสร็ จอื่น,SE_OCI,SE_OCI,1.0,-198309.0,-26603.0,-198309.0,-26603.0
