company,source,page,unit,side,block,row_index,item,col_index,equity_component,is_total_col,kind,value
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,14,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,0,ทุนที่ออกและชาระแล้ว บุริมสิ ทธิ,False,balance,6412.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,14,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,1,หุน้ สามัญ,False,balance,33985510.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,14,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,2,ส่ หุน้ บุริมสิ ทธิ,False,balance,2508.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,14,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,3,วนเกินมูลค่าหุน้ หุน้ สามัญ,False,balance,11121683.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,14,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,4,กาไร (ขาดทุน) จากการวัด มูลค่าเงินลงทุน ในตราสารหนี้ ด้วยมูลค่ายุติธรรม ผ่านกาไรขาดทุน เบ็ดเสร็ จอื่น,False,balance,1334632.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,14,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,5,องค์ประกอบอื่นของส่ ขาดทุน จากการแปลงค่า งบการเงิน จากการ ดาเนิ นงาน ในต่างประเทศ,False,balance,-882352.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,14,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,6,งบการเงินรวม วนของเจ้าของ กาไร จากเงินลงทุน ในตราสารทุน ที่กาหนดให้วดั มูลค่า ด้วยมูลค่ายุติธรรม ผ่านกาไรขาดทุน เบ็ดเสร็ จอื่น (พันบาท),False,balance,1270973.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,14,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,7,การเปลี่ยนแปลง ในส่ วนเกินทุน จากการตีราคา สิ นทรัพย์,False,balance,20748455.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,14,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,8,รวม องค์ประกอบ อื่นของส่ วน ของเจ้าของ ตามกฎหมาย,False,balance,22471708.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,14,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,9,ทุนสารอง,False,balance,7000000.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,14,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,10,กาไรสะสม ยังไม่ได้จดั สรร ของธนาคาร,False,balance,370870744.0
