company,unit,page,item,con_cur,con_prev,sep_cur,sep_prev,trap
MFEC,thousand,1,เงินสดและรายการเทียบเท่าเงินสด,267553,615736,130909,396902,normal
MFEC,thousand,1,รายได้ที่ยังไม่ได้เรียกชำระ,712848,759237,703508,748322,normal
MFEC,thousand,1,ต้นทุนงานระหว่างทำ,211362,273332,210458,238376,normal
MFEC,thousand,1,ต้นทุนงานบริการจ่ายล่วงหน้า,1341434,1439497,1318145,1427335,normal
MFEC,thousand,1,เงินฝากธนาคารที่มีข้อจำกัดการใช้,162670,117593,,,dash_empty
MFEC,thousand,1,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,1629263,1616453,1563342,1567218,note_col
MFEC,thousand,1,เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกัน,15600,63900,29100,79900,note_col
MFEC,thousand,1,สินทรัพย์ตราสารอนุพันธ์หมุนเวียน,6095,483,6095,483,small_num
MFEC,thousand,1,รวมสินทรัพย์หมุนเวียน,4529033,4991974,4010328,4499112,subtotal
MFEC,thousand,1,เงินให้กู้ยืมระยะยาวแก่กิจการที่เกี่ยวข้องกัน,48300,,48300,,dash_empty
MFEC,thousand,1,รวมสินทรัพย์ไม่หมุนเวียน,1724191,1652657,1678366,1608268,subtotal
MFEC,thousand,1,รวมสินทรัพย์,6253224,6644631,5688694,6107380,subtotal
MFEC,thousand,2,ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,34700,34397,27847,27438,long_name
MFEC,thousand,2,ประมาณการหนี้สินค่าเสียหายจากการฟ้องร้อง,22567,22382,,,long_name
MFEC,thousand,2,ภาษีเงินได้นิติบุคคลค้างจ่าย,6202,4779,,,small_num
MFEC,thousand,2,ประมาณการต้นทุนการรื้อถอน,9013,8952,8242,8196,small_num
MFEC,thousand,2,รวมหนี้สิน,3538041,4033732,3205365,3722790,subtotal
MFEC,thousand,3,"หุ้นสามัญ 441,453,555 หุ้น มูลค่าหุ้นละ 1 บาท",441454,441454,441454,441454,long_num
