company,unit,page,item,con_cur,con_prev,sep_cur,sep_prev,trap,_concept_hint,_note
AIS,thousand,1,เงินสดและรายการเทียบเท่าเงินสด,68094165.0,25353770.0,138916.0,1631552.0,normal,CASH,nan
AIS,thousand,1,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,17606131.0,17916332.0,460466.0,331446.0,long_name,TRADE_RECEIVABLES,nan
AIS,thousand,1,สินทรัพย์ที่เกิดจากสัญญา,2997003.0,2936909.0,,,dash_empty,CONTRACT_ASSETS,nan
AIS,thousand,1,เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกัน,,,75313150.0,44021250.0,long_name,SHORT_TERM_LOANS_RELATED,nan
AIS,thousand,1,สินค้าคงเหลือ,3885745.0,4107423.0,,,dash_empty,INVENTORY,nan
AIS,thousand,1,สินทรัพย์ภาษีเงินได้ของงวดปัจจุบัน,88913.0,42344.0,54975.0,38245.0,normal,CURRENT_TAX_ASSETS,nan
AIS,thousand,1,สินทรัพย์ทางการเงินหมุนเวียนอื่น,131248.0,2000.0,,,dash_empty,OTHER_CURRENT_FIN_ASSETS,nan
AIS,thousand,1,สินทรัพย์หมุนเวียนอื่น,130294.0,154003.0,2122.0,993.0,normal,OTHER_CURRENT_ASSETS,nan
AIS,thousand,1,รวมสินทรัพย์หมุนเวียน,94821063.0,52703985.0,129609021.0,46023486.0,subtotal,TOTAL_CURRENT_ASSETS,nan
AIS,thousand,1,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,2110568.0,115215.0,1511876.0,61922.0,normal,OTHER_NONCURRENT_FIN_ASSETS,nan
AIS,thousand,1,เงินลงทุนในบริษัทย่อย,,,88197916.0,128669012.0,long_num,INVEST_SUBSIDIARY,nan
AIS,thousand,1,เงินลงทุนในบริษัทร่วมและการร่วมค้า,15420862.0,12962076.0,13831946.0,12147070.0,normal,INVEST_ASSOCIATE,nan
AIS,thousand,1,เงินให้กู้ยืมระยะยาวแก่กิจการที่เกี่ยวข้องกัน,390000.0,125000.0,,,long_name,LONG_TERM_LOANS_RELATED,nan
AIS,thousand,1,ที่ดิน อาคารและอุปกรณ์,118047439.0,118626352.0,50939.0,31791.0,long_num,PPE,nan
AIS,thousand,1,ค่าความนิยม,11744479.0,11744479.0,,,dash_empty,GOODWILL,nan
AIS,thousand,1,สินทรัพย์ไม่มีตัวตนอื่นนอกจากค่าความนิยม,28002848.0,27635601.0,2819.0,2836.0,long_name,INTANGIBLES,nan
AIS,thousand,1,รวมสินทรัพย์ไม่หมุนเวียน,366407243.0,367569222.0,104338572.0,141622799.0,subtotal,TOTAL_NONCURRENT_ASSETS,nan
AIS,thousand,1,รวมสินทรัพย์,461228306.0,420273207.0,233947593.0,187646285.0,subtotal,TOTAL_ASSETS,nan
AIS,thousand,2,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,44780526.0,43563133.0,3362786.0,3095690.0,long_name,TRADE_PAYABLES,nan
AIS,thousand,2,ภาษีเงินได้นิติบุคคลค้างจ่าย,8319045.0,5443461.0,,,dash_empty,INCOME_TAX_PAYABLE,nan
AIS,thousand,2,รวมหนี้สินหมุนเวียน,105956846.0,102178103.0,20956397.0,20854051.0,subtotal,TOTAL_CURRENT_LIAB,nan
AIS,thousand,2,รวมหนี้สินไม่หมุนเวียน,234693520.0,210814742.0,91848818.0,58947052.0,subtotal,TOTAL_NONCURRENT_LIAB,nan
AIS,thousand,2,"หนี้สินระยะยาว 8, 13",109021994.0,77989012.0,91384976.0,58452399.0,long_num,LONG_TERM_LIABILITIES,(?) ตรวจการสะกดจาก PDF
AIS,thousand,3,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,-61641.0,136668.0,-61641.0,136668.0,parentheses,OTHER_EQUITY_COMPONENTS,nan
AIS,thousand,3,ส่ วนต่าจากการเปลี่ยนแปลงสัดส่ วนการถือหุน้ ในบริ ษทั ย่อย,-669657.0,-669657.0,,,parentheses,OWNERSHIP_CHANGE_RESERVE,(?) ตรวจการสะกดจาก PDF
CPF,thousand,1,เงินสดและรายการเทียบเท่าเงินสด,22933621.0,23370662.0,889235.0,933303.0,normal,CASH,nan
CPF,thousand,1,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,43083808.0,41033612.0,1545568.0,1488857.0,long_name,TRADE_RECEIVABLES,nan
CPF,thousand,1,เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกัน,,15656.0,30358485.0,27381676.0,long_name,SHORT_TERM_LOANS_RELATED,nan
CPF,thousand,1,สินค้าคงเหลือ,62212166.0,61310591.0,1848223.0,1783459.0,normal,INVENTORY,nan
CPF,thousand,1,สินทรัพย์ทางการเงินหมุนเวียนอื่น,3821535.0,4594371.0,6510.0,3207.0,normal,OTHER_CURRENT_FIN_ASSETS,nan
CPF,thousand,1,สินทรัพย์หมุนเวียนอื่น,8439749.0,7909972.0,17455.0,14827.0,normal,OTHER_CURRENT_ASSETS,nan
CPF,thousand,1,รวมสินทรัพย์หมุนเวียน,196840159.0,191753289.0,36579990.0,37555565.0,subtotal,TOTAL_CURRENT_ASSETS,nan
CPF,thousand,2,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,235914.0,241263.0,,,dash_empty,OTHER_NONCURRENT_FIN_ASSETS,nan
CPF,thousand,2,เงินลงทุนในบริษัทย่อย,,,281333761.0,280151988.0,long_num,INVEST_SUBSIDIARY,nan
CPF,thousand,2,เงินลงทุนในบริษัทร่วม,249592959.0,244872346.0,11751125.0,11751125.0,long_num,INVEST_ASSOCIATE,nan
CPF,thousand,2,เงินลงทุนในการร่วมค้า,22274292.0,21678483.0,4506624.0,4506624.0,normal,INVEST_JV,nan
CPF,thousand,2,เงินให้กู้ยืมระยะยาวแก่กิจการที่เกี่ยวข้องกัน,439934.0,862409.0,2020000.0,,long_name,LONG_TERM_LOANS_RELATED,nan
CPF,thousand,2,ที่ดิน อาคารและอุปกรณ์,253636071.0,251749776.0,18982018.0,19014933.0,long_num,PPE,nan
CPF,thousand,2,ค่าความนิยม,58263324.0,56722939.0,,,dash_empty,GOODWILL,nan
CPF,thousand,2,รวมสินทรัพย์ไม่หมุนเวียน,686890129.0,670042794.0,332571492.0,323044059.0,subtotal,TOTAL_NONCURRENT_ASSETS,nan
CPF,thousand,2,รวมสินทรัพย์,883730288.0,861796083.0,369151482.0,360599624.0,subtotal,TOTAL_ASSETS,nan
CPF,thousand,3,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,39131191.0,37984791.0,860964.0,984982.0,long_name,TRADE_PAYABLES,nan
CPF,thousand,3,ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,5575713.0,5136076.0,142701.0,137009.0,long_name,CURRENT_LEASE_LIABILITIES,nan
CPF,thousand,3,ภาษีเงินได้นิติบุคคลค้างจ่าย,3681576.0,2901255.0,,,dash_empty,INCOME_TAX_PAYABLE,nan
CPF,thousand,3,รวมหนี้สินหมุนเวียน,274384073.0,285957929.0,97607343.0,101747358.0,subtotal,TOTAL_CURRENT_LIAB,nan
CPF,thousand,3,หนี้สินไม่หมุนเวียนอื่น,1148267.0,1113623.0,,,dash_empty,OTHER_NONCURRENT_LIAB,nan
CPF,thousand,3,รวมหนี้สินไม่หมุนเวียน,344448925.0,323978666.0,118576907.0,105660266.0,subtotal,TOTAL_NONCURRENT_LIAB,nan
CPF,thousand,3,"หุ้นกู้ 6, 10",199174693.0,186116556.0,116042650.0,102985222.0,long_num,DEBENTURES,(?) ตรวจการสะกดจาก PDF
CPF,thousand,4,ยังไม่ได้จัดสรร,152435600.0,147667873.0,47900562.0,48067473.0,long_num,RETAINED_EARNINGS,nan
CPF,thousand,4,หุ้นทุนซื้อคืน,-11094015.0,-10449671.0,-5256158.0,-4935753.0,parentheses,TREASURY_STOCK,nan
CPF,thousand,4,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,20527237.0,19107960.0,,,dash_empty,NCI,nan
PTT,baht,1,เงินสดและรายการเทียบเท่าเงินสด,425431356167.0,346817209753.0,83052483222.0,85515043725.0,long_num,CASH,nan
PTT,baht,1,เงินลงทุนในสินทรัพย์ทางการเงินระยะสั้น,60291655687.0,55999907203.0,37191426519.0,30674315883.0,long_name,SHORT_TERM_INVEST,nan
PTT,baht,1,ลูกหนี้การค้า,266543436095.0,208413085466.0,182602157975.0,125747220248.0,long_num,TRADE_RECEIVABLES,nan
PTT,baht,1,ลูกหนี้หมุนเวียนอื่น,143676724733.0,61924485075.0,24336846365.0,9961446816.0,long_num,OTHER_RECEIVABLES,nan
PTT,baht,1,รวมสินทรัพย์หมุนเวียน,1182673744680.0,905197259297.0,384508768532.0,291936004563.0,subtotal,TOTAL_CURRENT_ASSETS,nan
PTT,baht,1,สินทรัพย์ไม่มีตัวตนอื่นนอกจากค่าความนิยม,107295256804.0,108103396135.0,5098031567.0,5287589312.0,long_name,INTANGIBLES,nan
PTT,baht,1,รวมสินทรัพย์ไม่หมุนเวียน,2400542214813.0,2364462718610.0,749303048334.0,763891152554.0,subtotal,TOTAL_NONCURRENT_ASSETS,nan
PTT,baht,1,รวมสินทรัพย์,3583215959493.0,3269659977907.0,1133811816866.0,1055827157117.0,subtotal,TOTAL_ASSETS,nan
PTT,baht,1,เงินให้กู้ยืมระยะสั้น,1554554069.0,782344422.0,23182756948.0,5456965588.0,long_num,SHORT_TERM_LOANS,nan
PTT,baht,1,สินค้าคงเหลือ,192805230628.0,158774191741.0,20396118694.0,23277545076.0,long_num,INVENTORY,nan
PTT,baht,1,พัสดุคงเหลือ,49975903048.0,50655141911.0,5707542897.0,5662372901.0,long_num,INVENTORY_SUPPLIES,nan
PTT,baht,1,สินทรัพย์ตราสารอนุพันธ์หมุนเวียน,33728108412.0,12473806795.0,5668880419.0,2797237967.0,long_num,DERIVATIVE_ASSETS_CURRENT,nan
PTT,baht,1,เงินลงทุนในสินทรัพย์ทางการเงินระยะยาวอื่น,37847654228.0,36160062475.0,16293092220.0,16472963576.0,long_name,LONG_TERM_INVEST,nan
PTT,baht,2,ส่วนของเงินกู้ยืมระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,88175599385.0,67325228827.0,20998070526.0,20996647966.0,long_name,CURRENT_PORTION_LT_BORROWINGS,nan
PTT,baht,2,ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,21528148319.0,20517851892.0,2141300212.0,1612827380.0,long_name,CURRENT_LEASE_LIABILITIES,nan
PTT,baht,2,รวมหนี้สินหมุนเวียน,806526189624.0,565757913334.0,253062708761.0,195998998613.0,subtotal,TOTAL_CURRENT_LIAB,nan
PTT,baht,2,รวมหนี้สินไม่หมุนเวียน,1037978497182.0,1051418454278.0,195888899690.0,195961561719.0,subtotal,TOTAL_NONCURRENT_LIAB,nan
PTT,baht,2,ประมาณการหนี้สินสำหรับผลประโยชน์พนักงาน,39941803265.0,39446380895.0,9593112159.0,9407541595.0,long_name,EMPLOYEE_BENEFIT_PROVISION,nan
PTT,baht,2,รวมหนี้สิน,1844504686806.0,1617176367612.0,448951608451.0,391960560332.0,subtotal,TOTAL_LIABILITIES,nan
PTT,baht,3,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,-7574022147.0,-28556779775.0,332895381.0,218430620.0,parentheses,OTHER_EQUITY_COMPONENTS,nan
PTT,baht,3,หุ้นทุนซื้อคืน,-7552066570.0,-7552066570.0,-7552066570.0,-7552066570.0,parentheses,TREASURY_STOCK,nan
PTT,baht,3,ส่วนของผู้มีส่วนได้เสียที่ไม่มีอำนาจควบคุมของบริษัทย่อย,564403497340.0,525061514559.0,,,long_name,NCI,nan
PTT,baht,3,รวมส่วนของผู้ถือหุ้น,1738711272687.0,1652483610295.0,684860208415.0,663866596785.0,subtotal,TOTAL_EQUITY,nan
