company,unit,page,item,con_cur,con_prev,sep_cur,sep_prev,trap,_concept_hint,_note,section
BBIK,baht,6,รายได้จากการให้บริการ,370571059.0,346661884.0,166356212.0,198784615.0,long_num,REVENUE_SERVICE,nan,
BBIK,baht,6,ต้นทุนการให้บริการ,-172660897.0,-167851902.0,-111207480.0,-119606113.0,parentheses,COGS_SERVICE,nan,
BBIK,baht,6,กำไรขั้นต้น,197910162.0,178809982.0,55148732.0,79178502.0,long_num,GROSS_PROFIT,nan,
BBIK,baht,6,กำไรจากอัตราแลกเปลี่ยน,1641851.0,,1886427.0,,dash_empty,FX_GAIN,nan,
BBIK,baht,6,รายได้อื่น,402974.0,757130.0,314844.0,391313.0,normal,OTHER_INCOME,nan,
BBIK,baht,6,ค่าใช้จ่ายในการขาย,-31919122.0,-35731445.0,-16709894.0,-18787442.0,parentheses,SELLING_EXPENSES,nan,
BBIK,baht,6,ค่าใช้จ่ายในการบริหาร,-90610376.0,-77452068.0,-32950083.0,-25702088.0,parentheses,ADMIN_EXPENSES,nan,
BBIK,baht,6,กำไรจากกิจกรรมดำเนินงาน,77717661.0,68171144.0,32518866.0,83613984.0,normal,OPERATING_PROFIT,nan,
BBIK,baht,6,รายได้ทางการเงิน,843387.0,728272.0,766216.0,615448.0,normal,FINANCE_INCOME,nan,
BBIK,baht,6,ต้นทุนทางการเงิน,-1629812.0,-1755700.0,-788445.0,-843155.0,parentheses,FINANCE_COST,nan,
BBIK,baht,6,ส่วนแบ่งกำไรของบริษัทร่วมและการร่วมค้าที่ใช้วิธีส่วนได้เสีย,7050420.0,9356055.0,,,long_name,SHARE_OF_PROFIT_ASSOCIATE,nan,
BBIK,baht,6,กำไรก่อนภาษีเงินได้,83981656.0,76499771.0,32496637.0,83386277.0,normal,PROFIT_BEFORE_TAX,nan,
BBIK,baht,6,รวมรายการที่อาจถูกจัดประเภทใหม่ไว้ในกำไรหรือขาดทุนในภายหลัง,-165896.0,39596.0,,,subtotal,OCI_RECLASSIFIABLE_TOTAL,nan,
BBIK,baht,6,รวมรายการที่จะไม่ถูกจัดประเภทใหม่ไว้ในกำไรหรือขาดทุนในภายหลัง,1000293.0,-801368.0,574749.0,-801368.0,subtotal,OCI_NON_RECLASSIFIABLE_TOTAL,nan,
