company,unit,page,section,item,con_cur,con_prev,sep_cur,sep_prev,trap,_concept_hint,_note
BBIK,baht,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,กำไรสำหรับงวด,80062716.0,72767364.0,29383462.0,79093599.0,normal,NET_PROFIT,nan
BBIK,baht,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ค่าใช้จ่ายภาษีเงินได้,3918940.0,3732407.0,3113175.0,4292678.0,normal,INCOME_TAX_EXPENSE,nan
BBIK,baht,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ค่าเสื่อมราคาและค่าตัดจำหน่าย,5658851.0,5609212.0,4011923.0,3940501.0,normal,DEPRECIATION_AMORTISATION,nan
BBIK,baht,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ค่าใช้จ่ายผลประโยชน์พนักงานหลังออกจากงานและผลประโยชน์ระยะยาวอื่น,4373130.0,3619020.0,1247182.0,1667020.0,long_name,POST_EMPLOYMENT_BENEFIT_EXPENSE,(?) ตรวจการสะกดจาก PDF
BBIK,baht,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ส่วนแบ่งกำไรของบริษัทร่วมและการร่วมค้าที่ใช้วิธีส่วนได้เสีย,-7050420.0,-9356055.0,,,parentheses,SHARE_OF_PROFIT_ASSOCIATE,nan
BBIK,baht,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,เงินปันผลรับ,,-1474321.0,,-36474321.0,parentheses,DIVIDEND_INCOME,nan
BBIK,baht,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,รายได้ทางการเงิน,-843387.0,-728272.0,-766216.0,-615448.0,parentheses,FINANCE_INCOME,nan
BBIK,baht,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ต้นทุนทางการเงิน,1629812.0,1755700.0,788445.0,843155.0,normal,FINANCE_COST,nan
BBIK,baht,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,126853381.0,44870972.0,66189355.0,14183534.0,long_name,TRADE_RECEIVABLES,nan
BBIK,baht,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,สินทรัพย์ที่เกิดจากสัญญา - หมุนเวียน,-9276917.0,63536557.0,11971165.0,89596935.0,parentheses,CONTRACT_ASSETS_CURRENT,nan
BBIK,baht,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,กระแสเงินสดสุทธิได้มาจากกิจกรรมดำเนินงาน,112609584.0,108155417.0,83160429.0,105771010.0,subtotal,CF_OPERATING,nan
BBIK,baht,11,กระแสเงินสดจากกิจกรรมลงทุน,เงินสดรับจากเงินปันผลจากบริษัทย่อย,,,,35000000.0,dash_empty,DIVIDEND_RECEIVED,(?) ตรวจการสะกดจาก PDF
BBIK,baht,11,กระแสเงินสดจากกิจกรรมลงทุน,กระแสเงินสดสุทธิใช้ไปในกิจกรรมลงทุน,-5431716.0,-146902367.0,,-111752836.0,subtotal,CF_INVESTING,nan
BBIK,baht,11,กระแสเงินสดจากกิจกรรมจัดหาเงิน,กระแสเงินสดสุทธิใช้ไปในกิจกรรมจัดหาเงิน,-3527787.0,-3083554.0,-3000432.0,-2556199.0,subtotal,CF_FINANCING,nan
BBIK,baht,11,กระแสเงินสดจากกิจกรรมจัดหาเงิน,ผลกระทบของอัตราแลกเปลี่ยนที่มีต่อเงินสดและรายการเทียบเท่าเงินสด,2437295.0,-153269.0,2322019.0,-109749.0,subtotal,CASH_FX_EFFECT,nan
BBIK,baht,11,กระแสเงินสดจากกิจกรรมจัดหาเงิน,เงินสดและรายการเทียบเท่าเงินสดเพิ่มขึ้น (ลดลง) สุทธิ,106087376.0,-41983773.0,82482016.0,-8647774.0,subtotal,CASH_NET_CHANGE,nan
