company,unit,page,section,item,con_cur,con_prev,sep_cur,sep_prev,trap,_concept_hint,_note
KBANK,thousand,2,,เงินสด,53524540,54048688,53288819,53728239,normal,BANK_CASH,
KBANK,thousand,2,,รายการระหว่างธนาคารและตลาดเงินสุทธิ,493518672,559860991,480394035,545803994,long_num,INTERBANK_ASSETS,
KBANK,thousand,2,,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,46459812,53146464,13218412,19509013,long_name,FVTPL_ASSETS,
KBANK,thousand,2,,สินทรัพย์อนุพันธ์,63918022,59449766,57668025,51807016,normal,DERIVATIVE_ASSETS,
KBANK,thousand,2,,เงินลงทุนสุทธิ,1305652344,1248260347,680199939,572139718,long_num,INVESTMENTS_NET,
KBANK,thousand,2,,เงินลงทุนในบริษัทย่อย บริษัทร่วมและการร่วมค้าสุทธิ,15330880,15001201,101900703,100316205,long_name,INVEST_SUB_ASSOC_JV,
KBANK,thousand,2,,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ,2322085157,2352770246,2221864980,2250652161,long_name,LOANS_NET,
KBANK,thousand,2,,ทรัพย์สินรอการขายสุทธิ,57707724,58177447,56218242,56608769,normal,FORECLOSED_ASSETS,
KBANK,thousand,2,,ที่ดิน อาคารและอุปกรณ์สุทธิ,58467602,59234695,44082508,44878478,normal,PPE,
KBANK,thousand,2,,ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่นสุทธิ,31413588,31514366,19322125,19519140,long_name,GOODWILL_INTANGIBLES,
KBANK,thousand,2,,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,7332816,7204578,4752975,4691243,normal,DEFERRED_TAX_ASSETS,
KBANK,thousand,2,,หลักประกันลูกหนี้ตามสัญญาเครดิตซัพพอร์ทแอนเน็กซ์,21121144,1409862,22669144,2957862,long_name,CSA_COLLATERAL,
KBANK,thousand,2,,รวมสินทรัพย์,4539958494,4558618074,3792571947,3759113432,subtotal,TOTAL_ASSETS,
KBANK,thousand,2,,เงินรับฝาก,2899400888,2850386698,2858877852,2808793133,long_num,DEPOSITS,
KBANK,thousand,2,,รายการระหว่างธนาคารและตลาดเงิน,201344712,207481928,182879472,188293589,long_num,INTERBANK_LIAB,
KBANK,thousand,2,,หนี้สินภาษีเงินได้รอการตัดบัญชี,6676117,9381118,,,dash_empty,DEFERRED_TAX_LIAB,
KBANK,thousand,2,,หนี้สินจากสัญญาประกันภัย,468984369,515895583,,,long_num,INSURANCE_CONTRACT_LIAB,
KBANK,thousand,2,,รวมหนี้สิน,3864627629,3884849986,3273976843,3247197880,subtotal,TOTAL_LIABILITIES,
KBANK,thousand,2,ทุนที่ออกและชำระแล้ว,หัก หุ้นทุนซื้อคืน,-3479843,-2554778,-3479843,-2554778,parentheses,TREASURY_STOCK,
KBANK,thousand,2,ทุนที่ออกและชำระแล้ว,รวมส่วนของธนาคาร,586924536,581146308,518595104,511915552,subtotal,EQUITY_PARENT,
KBANK,thousand,2,ทุนที่ออกและชำระแล้ว,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,88406329,92621780,,,dash_empty,NCI,
KBANK,thousand,2,ทุนที่ออกและชำระแล้ว,รวมส่วนของเจ้าของ,675330865,673768088,518595104,511915552,subtotal,TOTAL_EQUITY,
KBANK,thousand,2,ทุนที่ออกและชำระแล้ว,รวมหนี้สินและส่วนของเจ้าของ,4539958494,4558618074,3792571947,3759113432,subtotal,TOTAL_LIAB_EQUITY,
KBANK,thousand,2,ทุนที่ออกและชำระแล้ว,"ทุนที่ออกและชำระแล้ว หุ้นสามัญ 2,369,327,593 หุ้น มูลค่าหุ้นละ 10 บาท",23693276,23693276,23693276,23693276,dash_empty,SHARE_CAPITAL,(?) ตรวจการสะกดจาก PDF
SCB,thousand,4,,เงินสด,39359592,43835775,39208953,43676709,normal,BANK_CASH,
SCB,thousand,4,,รายการระหว่างธนาคารและตลาดเงินสุทธิ,597636458,621783713,588773931,614096669,long_num,INTERBANK_ASSETS,
SCB,thousand,4,,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,122567124,106646110,122567124,106646110,long_name,FVTPL_ASSETS,
SCB,thousand,4,,สินทรัพย์อนุพันธ์,51697961,46732790,51696978,46732790,normal,DERIVATIVE_ASSETS,
SCB,thousand,4,,เงินลงทุนสุทธิ,451862818,425669284,451845082,425628963,long_num,INVESTMENTS_NET,
SCB,thousand,4,,เงินลงทุนในบริษัทย่อยและบริษัทร่วมสุทธิ,1240832,1137945,10027493,10108435,long_name,INVEST_SUB_ASSOC_JV,
