company,unit,page,section,item,con_cur,con_prev,sep_cur,sep_prev,trap,_concept_hint,_note
AIS,thousand,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,กำไรสำหรับงวด,13495939,10584017,13495505,10583526,normal,NET_PROFIT,
AIS,thousand,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ค่าเสื่อมราคาและค่าตัดจำหน่าย,13523555,14805469,42432,42681,normal,DEPRECIATION_AMORTISATION,
AIS,thousand,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,รายได้ทางการเงิน,-92333,-118977,-347044,-489047,parentheses,FINANCE_INCOME,
AIS,thousand,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ต้นทุนทางการเงิน,1871902,2080596,523977,481440,normal,FINANCE_COST,
AIS,thousand,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,529756,460870,,,long_name,ECL,
AIS,thousand,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ค่าใช้จ่ายภาษีเงินได้,3302547,2580867,8084,7297,normal,INCOME_TAX_EXPENSE,
AIS,thousand,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,เงินสดได้มาจากการดำเนินงานก่อนการเปลี่ยนแปลงในสินทรัพย์และหนี้สินดำเนินงาน,32570711,30209445,274468,184522,long_name,PROFIT_BEFORE_WC_CHANGE,
AIS,thousand,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,-233815,648500,-195823,-431300,parentheses,TRADE_RECEIVABLES,
AIS,thousand,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,สินทรัพย์ที่เกิดจากสัญญา,-62936,-55146,,,parentheses,CONTRACT_ASSETS,
AIS,thousand,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,สินค้าคงเหลือ,223661,1636953,,,dash_empty,INVENTORY,
AIS,thousand,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,สินทรัพย์หมุนเวียนอื่น,42850,165700,-17860,-3967,parentheses,OTHER_CURRENT_ASSETS,
AIS,thousand,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,สินทรัพย์ไม่หมุนเวียนอื่น,-2630,-27574,-2440,-18788,parentheses,OTHER_NONCURRENT_ASSETS,
AIS,thousand,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,-679670,828219,-285102,-209581,parentheses,TRADE_PAYABLES,
AIS,thousand,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,หนี้สินหมุนเวียนอื่น,-4656,-76586,16881,1174,parentheses,OTHER_CURRENT_LIAB,
AIS,thousand,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,กระแสเงินสดสุทธิได้มาจาก (ใช้ไปใน) กิจกรรมดำเนินงาน,30743770,32890158,-323549,-509746,subtotal,CF_OPERATING,
AIS,thousand,11,กระแสเงินสดจากกิจกรรมลงทุน,เงินปันผลรับ,358067,8700,340667,352200,long_name,DIVIDEND_RECEIVED,
AIS,thousand,11,กระแสเงินสดจากกิจกรรมลงทุน,กระแสเงินสดสุทธิได้มาจาก (ใช้ไปใน) กิจกรรมลงทุน,-12923475,-10568797,-32257118,1045800,subtotal,CF_INVESTING,
AIS,thousand,11,กระแสเงินสดจากกิจกรรมจัดหาเงิน,กระแสเงินสดสุทธิได้มาจาก (ใช้ไปใน) กิจกรรมจัดหาเงิน,24917015,-9884568,31088031,1634468,subtotal,CF_FINANCING,
AIS,thousand,11,กระแสเงินสดจากกิจกรรมจัดหาเงิน,ผลกระทบจากการเปลี่ยนแปลงอัตราแลกเปลี่ยนของยอดคงเหลือในสกุลเงินตราต่างประเทศ,3085,-2079,,,subtotal,CASH_FX_EFFECT,
AIS,thousand,11,กระแสเงินสดจากกิจกรรมจัดหาเงิน,เงินสดและรายการเทียบเท่าเงินสดเพิ่มขึ้น (ลดลง) สุทธิ,42740395,12434714,-1492636,2170522,subtotal,CASH_NET_CHANGE,
AIS,thousand,11,กระแสเงินสดจากกิจกรรมจัดหาเงิน,เงินสดและรายการเทียบเท่าเงินสด ณ วันที่ 1 มกราคม,25353770,22607069,1631552,3728525,long_name,CASH_BEGIN,
AIS,thousand,11,กระแสเงินสดจากกิจกรรมจัดหาเงิน,เงินสดและรายการเทียบเท่าเงินสด ณ วันที่ 31 มีนาคม,68094165,35041783,138916,5899047,long_name,CASH_END,
AIS,thousand,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,ขาดทุนจากการด้อยค่า ขาดทุนจากการขายและตัดจำหน่ายสินทรัพย์,216083,108026,420,49,long_name,IMPAIRMENT_LOSS_DISPOSAL,
AIS,thousand,10,กระแสเงินสดจากกิจกรรมดำเนินงาน,เงินฝากธนาคารที่สามารถใช้เป็นการเฉพาะ,164888,109901,,,long_name,RESTRICTED_BANK_DEPOSITS,
AIS,thousand,11,กระแสเงินสดจากกิจกรรมลงทุน,ดอกเบี้ยรับ,41119,56009,469625,548018,normal,INTEREST_RECEIVED,
AIS,thousand,11,กระแสเงินสดจากกิจกรรมลงทุน,เงินสดรับจากการจำหน่ายอุปกรณ์,56380,33965,369,21,normal,PROCEEDS_DISPOSAL_EQUIPMENT,
AIS,thousand,11,กระแสเงินสดจากกิจกรรมจัดหาเงิน,เงินสดรับจากหุ้นกู้ระยะยาว,31384800,,31384800,,dash_empty,PROCEEDS_LONGTERM_DEBENTURES,
