company,unit,page,section,item,con_cur,con_prev,sep_cur,sep_prev,trap,_concept_hint,_note
KBANK,thousand,3,,รายได้ดอกเบี้ย,40457787,44962716,32917671,37676883,normal,FINANCE_INCOME,
KBANK,thousand,3,,รายได้เงินปันผล,1096762,972586,1437029,1240875,normal,DIVIDEND_INCOME,
KBANK,thousand,3,,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,9823108,9818186,9391333,9246258,long_name,ECL,
KBANK,thousand,3,,กำไรสุทธิ,16501216,15256120,11921083,12844710,normal,NET_PROFIT,
KBANK,thousand,3,การแบ่งปันกำไรขาดทุนเบ็ดเสร็จรวม,ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,-4615740,-45926,,,parentheses,TCI_ATTRIB_NCI,
KBANK,thousand,3,กำไรต่อหุ้นของผู้ถือหุ้นธนาคาร,กำไรต่อหุ้นขั้นพื้นฐาน (บาท),6.24,5.67,5.07,5.27,decimal,EPS,
KBANK,thousand,3,,ค่าตอบแทนกรรมการ,26706,27105,13550,12890,small_num,,
KBANK,thousand,3,,ค่าใช้จ่ายดอกเบี้ย,8500152,9537302,7909219,8797054,normal,,
KBANK,thousand,3,,ส่วนแบ่งกำไรจากเงินลงทุนตามวิธีส่วนได้เสีย,316334,175648,,,long_name,,
KBANK,thousand,3,,ผลการดำเนินงานการบริการประกันภัย,3927387,3116538,,,dash_empty,,
KBANK,thousand,3,,รายได้จากค่าชดเชยมูลค่าเงินลงทุน,1455404,,,,dash_empty,,
KBANK,thousand,3,,รวมรายได้จากการดำเนินงาน,53173811,53058061,39981227,41906497,subtotal,,
KBANK,thousand,3,,ค่าใช้จ่ายทางการเงินจากการประกันภัยสุทธิ,3652310,3955332,,,long_name,,
KBANK,thousand,3,,รวมรายได้จากการดำเนินงานสุทธิ,49521501,49102729,39981227,41906497,subtotal,,
KBANK,thousand,3,,ค่าใช้จ่ายเกี่ยวกับอาคาร สถานที่และอุปกรณ์,2718772,2781956,3158548,3207160,long_name,,
KBANK,thousand,3,,รวมค่าใช้จ่ายจากการดำเนินงานอื่น ๆ,19279145,20051890,16009084,16865468,subtotal,,
KBANK,thousand,3,กำไรขาดทุนเบ็ดเสร็จอื่น,กำไร (ขาดทุน) จากการวัดมูลค่าเงินลงทุนในตราสารหนี้ด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,-55848053,12998347,-7290161,3307461,parentheses,,
KBANK,thousand,3,กำไรขาดทุนเบ็ดเสร็จอื่น,กำไร (ขาดทุน) จากการวัดมูลค่ายุติธรรมเครื่องมือที่ใช้สำหรับการป้องกันความเสี่ยงในกระแสเงินสด,-1025082,-413988,62032,-845347,parentheses,,
KBANK,thousand,3,กำไรขาดทุนเบ็ดเสร็จอื่น,กำไร (ขาดทุน) จากการแปลงค่างบการเงินจากการดำเนินงานในต่างประเทศ,98059,-181601,25034,-39974,parentheses,,
KBANK,thousand,3,กำไรขาดทุนเบ็ดเสร็จอื่น,รวมกำไรขาดทุนเบ็ดเสร็จอื่นสุทธิ,-14642551,19266,-4360852,3573792,subtotal,,
SCB,thousand,7,,รายได้ดอกเบี้ย,28481905,33603838,28427003,33507420,normal,FINANCE_INCOME,
SCB,thousand,7,,ส่วนแบ่งกำไรจากเงินลงทุนในบริษัทร่วม,102887,82068,,,long_name,SHARE_OF_PROFIT_ASSOCIATE,
SCB,thousand,7,,รายได้เงินปันผล,10996,11200,10996,11200,normal,DIVIDEND_INCOME,
SCB,thousand,7,,ค่าใช้จ่ายอื่น ๆ,3273383,3089951,3229209,3449038,normal,OTHER_EXPENSES,
