company,unit,page,section,item,con_cur,con_prev,sep_cur,sep_prev,trap,_concept_hint,_note
BBIK,baht,"8,9",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันที่ 1 มกราคม,2144125483,2005859902,2016905244,1875715906,long_num,SE_OPENING,
BBIK,baht,"8,9",งบรวม+งบเฉพาะกิจการ,กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,80897113,72005592,29958211,78292231,normal,TOTAL_COMPREHENSIVE_INCOME,
BBIK,baht,"8,9",งบรวม+งบเฉพาะกิจการ,รวมการเปลี่ยนแปลงในส่วนของผู้ถือหุ้น,80897113,-75161371,29958211,78292231,subtotal,SE_CHANGE_TOTAL,
BBIK,baht,"8,9",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันที่ 31 มีนาคม,2225022596,1930698531,2046863455,1954008137,long_num,SE_CLOSING,
GABLE,thousand,9,งบรวม,กำไรสำหรับงวด,82787,-7347,,,parentheses,NET_PROFIT,
GABLE,thousand,9,งบรวม,กำไร (ขาดทุน) เบ็ดเสร็จอื่นสำหรับงวด,118,-5,,,parentheses,OCI_TOTAL,
GABLE,thousand,9,งบรวม,การจ่ายโดยใช้หุ้นเป็นเกณฑ์,14,311,,298,dash_empty,SE_SHARE_BASED,
GABLE,thousand,9,งบรวม,เงินรับล่วงหน้าค่าหุ้นจากการใช้สิทธิใบสำคัญแสดงสิทธิในบริษัทย่อย,4090,,,,dash_empty,,(?) ตรวจการสะกดจาก PDF
GABLE,thousand,"9,10",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันที่ 1 มกราคม,2320886,2221711,2042169,2029425,normal,SE_OPENING,
GABLE,thousand,"9,10",งบรวม+งบเฉพาะกิจการ,กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,82905,-7352,181727,-19294,parentheses,TOTAL_COMPREHENSIVE_INCOME,
GABLE,thousand,"9,10",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันที่ 31 มีนาคม,2407895,2214670,2223896,2010429,normal,SE_CLOSING,
MFEC,thousand,6,งบรวม,บริษัทย่อยจ่ายเงินปันผลให้ผู้มีส่วนได้เสียที่ไม่มีอำนาจควบคุม,-2279,,,,parentheses,,(?) ตรวจการสะกดจาก PDF
MFEC,thousand,6,งบรวม,ส่วนของผู้มีส่วนได้เสียที่ไม่มีอำนาจควบคุมจากการลงทุนในบริษัทย่อยเพิ่มขึ้น,750,,,,dash_empty,,(?) ตรวจการสะกดจาก PDF
MFEC,thousand,"6,7",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันที่ 1 มกราคม,2610899,2624468,2384590,2393659,normal,SE_OPENING,
MFEC,thousand,"6,7",งบรวม+งบเฉพาะกิจการ,กำไรสำหรับงวด,75567,60662,68493,86475,normal,NET_PROFIT,
MFEC,thousand,"6,7",งบรวม+งบเฉพาะกิจการ,กำไร (ขาดทุน) เบ็ดเสร็จอื่นสำหรับงวด,21960,-7931,21960,-7931,parentheses,OCI_TOTAL,
MFEC,thousand,"6,7",งบรวม+งบเฉพาะกิจการ,กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,97527,52731,90453,78544,normal,TOTAL_COMPREHENSIVE_INCOME,
MFEC,thousand,"6,7",งบรวม+งบเฉพาะกิจการ,โอนสำรองสำหรับการป้องกันความเสี่ยงในกระแสเงินสดไปยังต้นทุนงานระหว่างทำ,8253,5674,8253,5674,long_name,,(?) ตรวจการสะกดจาก PDF
MFEC,thousand,"6,7",งบรวม+งบเฉพาะกิจการ,โอนสำรองสำหรับการป้องกันความเสี่ยงในกระแสเงินสดที่โอนไปยังกำไรหรือขาดทุน,33,5,33,5,long_name,,(?) ตรวจการสะกดจาก PDF
MFEC,thousand,"6,7",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันที่ 31 มีนาคม,2715183,2682878,2483329,2477882,normal,SE_CLOSING,
SAT,thousand,9,งบรวม,กำไร (ขาดทุน),210622,188409,,-21556,dash_empty,SE_PROFIT,
SAT,thousand,"9,10",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันที่ 1 มกราคม,8339024,8329293,5446882,5425307,normal,SE_OPENING,
SAT,thousand,"9,10",งบรวม+งบเฉพาะกิจการ,กำไร (ขาดทุน) เบ็ดเสร็จอื่น,-272,36,-68,-17,parentheses,SE_OCI,
SAT,thousand,"9,10",งบรวม+งบเฉพาะกิจการ,รวมกำไร (ขาดทุน) เบ็ดเสร็จสำหรับงวด,210350,188445,4004,-21573,subtotal,SE_TCI,
SAT,thousand,"9,10",งบรวม+งบเฉพาะกิจการ,ยอดคงเหลือ ณ วันที่ 31 มีนาคม,8549374,8517738,5450886,5403734,normal,SE_CLOSING,
