company,unit,page,section,item,con_cur,con_prev,sep_cur,sep_prev,trap
TRUE,thousand,3,สินทรัพย์หมุนเวียน,เงินสดและรายการเทียบเท่าเงินสด,17502124,17890903,2443324,4437493,normal
TRUE,thousand,3,สินทรัพย์หมุนเวียน,เงินฝากธนาคารทีมีภาระผูกพัน,48248,36531,48109,36375,normal
TRUE,thousand,3,สินทรัพย์หมุนเวียน,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,120,119,,,long_name
TRUE,thousand,3,สินทรัพย์หมุนเวียน,สินทรัพย์อนุพนั ธ์ทางการเงิน 5,94328,5781,,,dash_empty
TRUE,thousand,3,สินทรัพย์หมุนเวียน,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,35929439,36703877,4931105,5060513,long_name
TRUE,thousand,3,สินทรัพย์หมุนเวียน,เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกัน,2000,2000,1560577,1361326,long_name
TRUE,thousand,3,สินทรัพย์หมุนเวียน,สินค้าคงเหลือ,1747990,1863659,533,569,normal
TRUE,thousand,3,สินทรัพย์หมุนเวียน,ภาษีถกู หัก ณ ทีจ่าย,6564654,6376588,971516,877896,normal
TRUE,thousand,3,สินทรัพย์หมุนเวียน,ภาษีมลู ค่าเพิม,4118365,4113479,16883,15481,normal
TRUE,thousand,3,สินทรัพย์หมุนเวียน,สินทรัพย์หมุนเวียนอื่น,4597579,4947561,40100,45034,normal
TRUE,thousand,3,สินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,70604847,71940498,10012147,11834687,subtotal
TRUE,thousand,3,สินทรัพย์ไม่หมุนเวียน,เงินฝากธนาคารที่มีภาระผูกพัน,20623,19907,,,normal
TRUE,thousand,3,สินทรัพย์ไม่หมุนเวียน,เงินให้กู้ยืมระยะยาวแก่กิจการที่เกี่ยวข้องกัน,,,234775800,228025800,long_name
TRUE,thousand,3,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,1619823,1620310,1600,1600,long_name
TRUE,thousand,3,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,61042,61042,1200,1200,long_name
TRUE,thousand,3,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์อนุพันธ์ทางการเงิน,208038,11617,96084,,normal
TRUE,thousand,3,สินทรัพย์ไม่หมุนเวียน,เงินลงทุนในบริษัทย่อย,,,307551691,307551691,long_num
TRUE,thousand,3,สินทรัพย์ไม่หมุนเวียน,เงินลงทุนในบริษัทร่วมและการร่วมค้า,21534809,21291725,27055406,27055406,normal
TRUE,thousand,3,สินทรัพย์ไม่หมุนเวียน,อสังหาริมทรัพย์เพือการลงทุน,904300,935892,,,dash_empty
TRUE,thousand,3,สินทรัพย์ไม่หมุนเวียน,ที่ดิน อาคารและอุปกรณ์,191910982,195850393,2157534,2233900,long_num
TRUE,thousand,3,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์สิทธิการใช้,95055596,96365011,567512,271451,normal
TRUE,thousand,3,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์ไม่มีตัวตน,133556205,137173594,299867,338418,long_num
TRUE,thousand,3,สินทรัพย์ไม่หมุนเวียน,ค่าความนิยม,121140615,121140615,34957698,34957698,long_num
TRUE,thousand,3,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,13726127,14215361,24953,247821,normal
TRUE,thousand,3,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์ไม่หมุนเวียนอื่น,3580808,3604132,138872,140646,normal
TRUE,thousand,3,สินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,583318968,592289599,607628217,600825631,subtotal
TRUE,thousand,3,สินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์,653923815,664230097,617640364,612660318,subtotal
TRUE,thousand,4,หนี้สินหมุนเวียน,เงินกู้ยืมระยะสั้น,3993356,1600000,3993356,1600000,normal
TRUE,thousand,4,หนี้สินหมุนเวียน,หนี้สินอนุพันธ์ทางการเงิน,201908,397717,5701,7549,normal
TRUE,thousand,4,หนี้สินหมุนเวียน,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,75810890,82509158,10240511,10437081,long_name
