company,unit,page,section,item,con_cur,con_prev,sep_cur,sep_prev,trap
PTT,baht,4,,รายได้จากการขายและการให้บริการ,718729054591,700222970353,407592106728,405518000910,long_num
PTT,baht,4,,ต้นทุนขายและการให้บริการ,546299228825,622808731146,381851031028,393877420483,long_num
PTT,baht,4,,กำไรขั้นต้น,172429825766,77414239207,25741075700,11640580427,long_num
PTT,baht,4,,รายได้อื่น,12633140495,8293658007,18655104653,19498487761,long_num
PTT,baht,4,,ขาดทุนจากตราสารอนุพนั ธ์,-70810299230,-960448390,-8378625568,-3717213400,parentheses
PTT,baht,4,,กาไร(ขาดทุน)จากอัตราแลกเปลีย่ นเงินตราต่างประเทศ,1121349975,4506865149,-2005038323,4108286004,parentheses
PTT,baht,4,,กำไรก่อนค่าใช้จ่าย,115374017006,89254313973,34012516462,31530140792,long_num
PTT,baht,4,,ค่าใช้จ่ายในการขายและจัดจำหน่าย,11424498977,10578803872,4166838967,2364992660,long_num
PTT,baht,4,,ค่าใช้จ่ายในการบริหาร,28963195733,16897619480,5572035528,5614652038,long_num
PTT,baht,4,,ค่าภาคหลวง,3306297211,3229882541,,,long_num
PTT,baht,4,,กาไรจากการดาเนินงาน,71680025085,58548008080,24273641967,23550496094,long_num
PTT,baht,4,,ส่วนแบ่งกำไรจากเงินลงทุนในการร่วมค้าและบริษัทร่วม,2053814498,324941005,,,long_name
PTT,baht,4,,กำไรก่อนต้นทุนทางการเงินและภาษีเงินได้,73733839583,58872949085,24273641967,23550496094,long_name
PTT,baht,4,,ต้นทุนทางการเงิน,8238689111,10985050321,1398566414,1788453481,long_num
PTT,baht,4,,กำไรก่อนภาษีเงินได้,65495150472,47887898764,22875075553,21762042613,long_num
PTT,baht,4,,ค่าใช้จ่ายภาษีเงินได้,23871700568,16073675894,1995928684,1461214339,long_num
PTT,baht,4,,กำไรสำหรับงวด,41623449904,31814222870,20879146869,20300828274,long_num
PTT,baht,4,การแบ่งปันกำไร,การแบ่งปันกำไร ส่วนที่เป็นของผู้ถือหุ้นของบริษัทฯ,25738298847,23315488909,20879146869,20300828274,long_name
PTT,baht,4,การแบ่งปันกำไร,การแบ่งปันกำไร ส่วนที่เป็นของผู้มีส่วนได้เสียที่ไม่มีอำนาจควบคุมของบริษัทย่อย,15885151057,8498733961,,,long_name
PTT,baht,4,การแบ่งปันกำไร,กำไรต่อหุ้นขั้นพื้นฐาน,0.91,0.81,0.74,0.71,decimal
PTT,baht,5,กำไรขาดทุนเบ็ดเสร็จอื่น,ผลต่างของอัตราแลกเปลี่ยนจากการแปลงค่างบการเงินที่เป็นเงินตราต่างประเทศ,28835585539,2797651955,,,long_name
PTT,baht,5,กำไรขาดทุนเบ็ดเสร็จอื่น,ขาดทุนจากเงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,-321774,-243763924,,,parentheses
PTT,baht,5,กำไรขาดทุนเบ็ดเสร็จอื่น,ภาษีเงินได้เกี่ยวกับเงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,80038,66489613,,,
