company,unit,page,section,item,con_cur,con_prev,sep_cur,sep_prev,trap
PRG,thousand,3,สินทรัพย์หมุนเวียน,เงินสดและรายการเทียบเท่าเงินสด,31466,62397,5170,15430,normal
PRG,thousand,3,สินทรัพย์หมุนเวียน,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,317306,296338,7373,8835,long_name
PRG,thousand,3,สินทรัพย์หมุนเวียน,สินค้าคงเหลือ,532624,332107,116,114,normal
PRG,thousand,3,สินทรัพย์หมุนเวียน,เงินให้กู้ยืมระยะสั้นแก่บริษัทย่อย,,,1102978,876955,dash_empty
PRG,thousand,3,สินทรัพย์หมุนเวียน,สินทรัพย์หมุนเวียนอื่น,5414,4051,213,710,normal
PRG,thousand,3,สินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,886810,694893,1115850,902044,subtotal
PRG,thousand,3,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,10057077,10232237,9558931,9725656,normal
PRG,thousand,3,สินทรัพย์ไม่หมุนเวียน,เงินลงทุนในบริษัทย่อย,,,561922,561922,dash_empty
PRG,thousand,3,สินทรัพย์ไม่หมุนเวียน,อสังหาริมทรัพย์เพือC การลงทุน 6,318753,317520,81770,81770,normal
PRG,thousand,3,สินทรัพย์ไม่หมุนเวียน,ที่ดิน อาคารและอุปกรณ์,415854,421126,51259,52282,normal
PRG,thousand,3,สินทรัพย์ไม่หมุนเวียน,พืชเพื่อการให้ผลิตผล,13372,13576,,,dash_empty
PRG,thousand,3,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์ไม่มีตัวตน,8294,8692,3931,4205,normal
PRG,thousand,3,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,4404,4281,,,dash_empty
PRG,thousand,3,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์ไม่หมุนเวียนอื่น,33878,33916,833,833,normal
PRG,thousand,3,สินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,10851632,11031348,10258646,10426668,subtotal
PRG,thousand,3,สินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์,11738442,11726241,11374496,11328712,subtotal
PRG,thousand,4,หนี้สินหมุนเวียน,เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,371000,158000,371000,158000,normal
PRG,thousand,4,หนี้สินหมุนเวียน,เงินกู้ยืมระยะสั้นจากบริษัทย่อย,,,88224,85364,dash_empty
PRG,thousand,4,หนี้สินหมุนเวียน,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,162404,200253,7660,11238,long_name
PRG,thousand,4,หนี้สินหมุนเวียน,หนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,4938,4740,582,580,long_name
PRG,thousand,4,หนี้สินหมุนเวียน,หนี้สินหมุนเวียนอื่น,22341,19525,2491,2196,normal
PRG,thousand,4,หนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,560683,382518,469957,257378,subtotal
PRG,thousand,4,หนี้สินไม่หมุนเวียน,ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,18649,18016,1612,1446,long_name
PRG,thousand,4,หนี้สินไม่หมุนเวียน,หนี้สินตามสัญญาเช่า - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,15571,12448,592,739,normal
PRG,thousand,4,หนี้สินไม่หมุนเวียน,หนี้สินภาษีเงินได้รอการตัดบัญชี,1714458,1749527,1643134,1676513,normal
PRG,thousand,4,หนี้สินไม่หมุนเวียน,หนี้สินไม่หมุนเวียนอื่น,3743,3743,3743,3743,normal
PRG,thousand,4,หนี้สินไม่หมุนเวียน,รวมหนี้สินไม่หมุนเวียน,1752421,1783734,1649081,1682441,subtotal
PRG,thousand,4,หนี้สินไม่หมุนเวียน,รวมหนี้สิน,2313104,2166252,2119038,1939819,subtotal
PRG,thousand,5,ทุนจดทะเบียน,"หุ้นสามัญ 966,709,347 หุ้น มูลค่าหุ้นละ 1 บาท",966709,966709,966709,966709,long_name
PRG,thousand,5,ทุนจดทะเบียน,"ทุนออกจำหน่ายและชำระเต็มมูลค่าแล้ว หุ้นสามัญ 763,384,513 หุ้น มูลค่าหุ้นละ 1 บาท",763385,763325,763385,763325,normal
PRG,thousand,5,ทุนจดทะเบียน,ส่วนเกินมูลค่าหุ้นสามัญ,812658,812426,812658,812426,normal
PRG,thousand,5,ทุนจดทะเบียน,ส่วนต่ำกว่าทุนจากการเปลี่ยนแปลงสัดส่วนการถือหุ้นในบริษัทย่อย,-9991,-9991,,,parentheses
PRG,thousand,5,ทุนจดทะเบียน,จัดสรรแล้ว - สำรองตามกฎหมาย,96711,96711,96711,96711,normal
PRG,thousand,5,ทุนจดทะเบียน,ยังไม่ได้จัดสรร,1679060,1673875,1829852,1830199,normal
PRG,thousand,5,ทุนจดทะเบียน,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,6083515,6223643,5752852,5886232,normal
PRG,thousand,5,ทุนจดทะเบียน,รวมส่วนของผู้ถือหุ้น,9425338,9559989,9255458,9388893,subtotal
PRG,thousand,5,ทุนจดทะเบียน,รวมหนี้สินและส่วนของผู้ถือหุ้น,11738442,11726241,11374496,11328712,subtotal
