company,unit,page,section,item,con_cur,con_prev,sep_cur,sep_prev,trap
STANLEY,baht,3,สินทรัพย์หมุนเวียน,เงินสดและรายการเทียบเท่าเงินสด,468538132,1094380390,468538132,1094380390,long_num
STANLEY,baht,3,สินทรัพย์หมุนเวียน,เงินลงทุนระยะสั้น 6,9594600000,8217870000,9594600000,8217870000,long_num
STANLEY,baht,3,สินทรัพย์หมุนเวียน,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น สุทธิ 7,1682764759,1785324005,1682764759,1785324005,long_name
STANLEY,baht,3,สินทรัพย์หมุนเวียน,สินค้าคงเหลือ สุทธิ 9,1201000644,1041220703,1201000644,1041220703,long_num
STANLEY,baht,3,สินทรัพย์หมุนเวียน,เงินให้กู้ยืมแก่พนักงานที่ถึงกำหนดรับชำระภายในหนึ่งปี 10,59897337,63032071,59897337,63032071,normal
STANLEY,baht,3,สินทรัพย์หมุนเวียน,สินทรัพย์อนุพันธ์ทางการเงิน สุทธิ 5,,41324,,41324,long_name
STANLEY,baht,3,สินทรัพย์หมุนเวียน,สินทรัพย์หมุนเวียนอื่น,22861813,30670950,22861813,30670950,normal
STANLEY,baht,3,สินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,13029662685,12232539443,13029662685,12232539443,subtotal
STANLEY,baht,3,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์ทางการเงินอื่นที่วัดมูลค่าด้วยวิธีราคาทุนตัดจำหน่าย 11,19784940,19725791,19784940,19725791,normal
STANLEY,baht,3,สินทรัพย์ไม่หมุนเวียน,เงินให้กู้ยืมแก่พนักงาน สุทธิ 10,48353178,61859321,48353178,61859321,normal
STANLEY,baht,3,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น 5,2012624845,1940227308,2012624845,1940227308,long_name
STANLEY,baht,3,สินทรัพย์ไม่หมุนเวียน,เงินลงทุนในบริษัทร่วม 12,1658090103,1995656288,54044189,54044189,long_num
STANLEY,baht,3,สินทรัพย์ไม่หมุนเวียน,เงินลงทุนในการร่วมค้า 12,24043245,24140447,3132500,3132500,normal
STANLEY,baht,3,สินทรัพย์ไม่หมุนเวียน,ที่ดิน อาคาร และอุปกรณ์ สุทธิ 13,6965285867,7051836350,6965285867,7051836350,long_num
STANLEY,baht,3,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์ไม่มีตัวตน สุทธิ,1079774246,1048188875,1079774246,1048188875,long_num
STANLEY,baht,3,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์ไม่หมุนเวียนอื่น สุทธิ,17206450,15434597,17206450,15434597,normal
STANLEY,baht,3,สินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,11825162874,12157068977,10200206215,10194448931,subtotal
STANLEY,baht,3,สินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์,24854825559,24389608420,23229868900,22426988374,subtotal
STANLEY,baht,4,หนี้สินหมุนเวียน,เจ้าหนี้การค้า - บริษัทอื่น,373647128,371900813,373647128,371900813,long_num
STANLEY,baht,4,หนี้สินหมุนเวียน,เจ้าหนี้การค้า - กิจการที่เกี่ยวข้องกัน 8,356071032,295405384,356071032,295405384,long_name
STANLEY,baht,4,หนี้สินหมุนเวียน,เจ้าหนี้หมุนเวียนอื่น - บริษัทอื่น,141242997,208613706,141242997,208613706,long_name
STANLEY,baht,4,หนี้สินหมุนเวียน,เจ้าหนี้หมุนเวียนอื่น - กิจการที่เกี่ยวข้องกัน 8,148069760,183663775,148069760,183663775,long_name
STANLEY,baht,4,หนี้สินหมุนเวียน,หนี้สินอนุพันธ์ทางการเงิน สุทธิ 5,12420,,12420,,long_name
STANLEY,baht,4,หนี้สินหมุนเวียน,ภาษีเงินได้นิติบุคคลค้างจ่าย,315476253,163039112,315476253,163039112,long_num
STANLEY,baht,4,หนี้สินหมุนเวียน,ค่าใช้จ่ายค้างจ่าย 14,323449241,353431255,323449241,353431255,long_num
STANLEY,baht,4,หนี้สินหมุนเวียน,เงินปันผลค้างจ่าย,1306436427,,1306436427,,long_num
STANLEY,baht,4,หนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,2964405258,1576054045,2964405258,1576054045,subtotal
STANLEY,baht,4,หนี้สินไม่หมุนเวียน,หนี้สินภาษีเงินได้รอการตัดบัญชี สุทธิ,616291215,667116868,291299882,274592858,long_name
STANLEY,baht,4,หนี้สินไม่หมุนเวียน,ภาระผูกพันผลประโยชน์พนักงาน,456508765,449019141,456508765,449019141,long_num
STANLEY,baht,4,หนี้สินไม่หมุนเวียน,รวมหนี้สินไม่หมุนเวียน,1072799980,1116136009,747808647,723611999,subtotal
STANLEY,baht,4,หนี้สินไม่หมุนเวียน,รวมหนี้สิน,4037205238,2692190054,3712213905,2299666044,subtotal
STANLEY,baht,4,ทุนจดทะเบียน,"หุ้นสามัญ 76,625,000 หุ้น มูลค่าที่ตราไว้หุ้นละ 5 บาท",383125000,383125000,383125000,383125000,long_num
STANLEY,baht,4,ทุนที่ออกและชำระแล้ว,"หุ้นสามัญ 76,625,000 หุ้น มูลค่าที่ตราไว้หุ้นละ 5 บาท",383125000,383125000,383125000,383125000,long_num
STANLEY,baht,4,ส่วนเกินมูลค่าหุ้น,ส่วนเกินมูลค่าหุ้น,504250000,504250000,504250000,504250000,long_num
STANLEY,baht,4,กำไรสะสม,จัดสรรแล้ว - สำรองตามกฎหมาย,38312500,38312500,38312500,38312500,normal
STANLEY,baht,4,กำไรสะสม,ยังไม่ได้จัดสรร,18749855971,19690830368,17066415881,17734001246,long_num
STANLEY,baht,4,องค์ประกอบอื่นของส่วนของเจ้าของ,องค์ประกอบอื่นของส่วนของเจ้าของ,1142076850,1080900498,1525551614,1467633584,long_num
STANLEY,baht,4,ส่วนของเจ้าของ,รวมส่วนของเจ้าของ,20817620321,21697418366,19517654995,20127322330,subtotal
STANLEY,baht,4,ส่วนของเจ้าของ,รวมหนี้สินและส่วนของเจ้าของ,24854825559,24389608420,23229868900,22426988374,subtotal
