company,unit,page,item,col_index,หัวคอลัมน์ที่ตัวสกัดอ่านได้,value
CPF,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,0,ทุน ที่ออกและ ชาระแล้ว,8413569
CPF,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,1,ส่วนเกิน มูลค่าหุ้นสามัญ,56004025
CPF,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,2,ส่วนเกินทุนจาก การเปลี่ยนแปลง ส่วนได้เสี ย ในบริ ษทั ย่อย และบริ ษทั ร,3227739
CPF,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,3,ส่วนต่ากว่าทุน จากการรวม ธุรกิจภายใต้ การควบคุมเดียวกัน,-9917
CPF,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,4,ส่วนเกินทุนอื่ น,3621945
CPF,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,5,ทุนสารอง ตามกฎหมาย,929166
CPF,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,6,กาไรสะสม สารอง หุ้นทุน ซื้ อคืน,3666565
CPF,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,7,ยังไม่ได้ จัดสรร,136528023
CPF,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,8,งบการเงินรวม หุ้นทุน ซื้ อคืน,-8290076
CPF,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,9,หุ้นกูด้ อ้ ยสิ ทธิ ที่มีลกั ษณะ คล้ายทุน,26932000
CPF,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,10,สารอง การแปลงค่า งบการเงิน,-47961518
CPF,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,11,สารองการ ป้ องกัน ความเสี่ ยง กระแสเงินสด,1097559
CPF,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,12,องค์ประกอบอื่นของส่วนของผูถ้ สารอง การเปลี่ยนแปลง ในมูลค่ายุติธรรม,4817112
CPF,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,13,ือหุ้น สารอง การตีราคา สิ นทรัพย์ใหม่,57064478
CPF,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,14,รวม องค์ประกอบอื่น ของ ส่วนของผูถ้ ือหุ้น,15017631
CPF,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,15,รวมส่วนของ บริ ษทั ใหญ่,246040670
CPF,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,16,ส่วนได้เสี ย ที่ไม่มีอานาจ ควบคุม,47182872
CPF,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,17,(หน่ วย: พันบาท) รวมส่ วนของ ผูถ้ ือหุ้น,293223542
CPF,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,0,ทุน ที่ออกและ ชาระแล้ว,8406963
CPF,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,1,ส่วนเกิน มูลค่าหุ้นสามัญ,55960752
CPF,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,2,ส่วนเกิน (ต่ากว่า) ทุนจาก การเปลี่ยนแปลง ส่วนได้เสี ย ในบริ ษทั ย่อย แ,-15276934
CPF,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,3,ส่วนต่ากว่าทุน จากการรวม ธุรกิจภายใต้ การควบคุมเดียวกัน,-9917
CPF,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,4,ส่วนเกินทุนอื่ น,3688893
CPF,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,5,ทุนสารอง ตามกฎหมาย,929166
CPF,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,6,กาไรสะสม สารอง หุ้นทุน ซื้ อคืน,4935753
CPF,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,7,ยังไม่ได้ จัดสรร,147667873
CPF,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,8,งบการเงินรวม หุ้นทุน ซื้ อคืน,-10449671
CPF,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,9,หุ้นกูด้ อ้ ยสิ ทธิ ที่มีลกั ษณะ คล้ายทุน,26932000
CPF,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,10,สารอง การแปลงค่า งบการเงิน,-50780457
CPF,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,11,สารองการ ป้ องกัน ความเสี่ ยง กระแสเงินสด,-345827
CPF,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,12,องค์ประกอบอื่นของส่วนของผูถ้ สารอง การเปลี่ยนแปลง ในมูลค่ายุติธรรม,3370477
CPF,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,13,ือหุ้น สารอง การตีราคา สิ นทรัพย์ใหม่,57722457
CPF,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,14,รวม องค์ประกอบอื่น ของ ส่วนของผูถ้ ือหุ้น,9966650
CPF,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,15,รวมส่วนของ บริ ษทั ใหญ่,232751528
CPF,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,16,ส่วนได้เสี ย ที่ไม่มีอานาจ ควบคุม,19107960
CPF,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,17,(หน่ วย: พันบาท) รวมส่ วนของ ผูถ้ ือหุ้น,251859488
CPF,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,0,ทุน ที่ออกและ ชาระแล้ว,8413569
CPF,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,1,ส่ วนเกิน มูลค่าหุน้ สามัญ,55113998
CPF,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,2,ส่ วนเกินทุน จากการรวม ธุรกิจภายใต้ การควบคุมเดียวกัน,490423
CPF,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,3,ส่ วนเกินทุนอื่น,3470021
CPF,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,4,ทุนสารอง ตามกฎหมาย,929166
CPF,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,5,กาไรสะสม สารอง หุน้ ทุน ซื้ อคืน,3666565
